   161892.32,   162601.88;
   163738.98,   162426.31;
   160280.60,   159109.10;
   165696.13,   162649.82;
   158388.03,   161208.86;
   163921.83,   156930.17;
   162202.27,   156675.38;
   162359.14,   165557.27;
   159078.91,   157173.23;
   158394.57,   164537.71;
   158380.03,   164934.33;
   156854.03,   163144.90;
   165198.76,   167177.85;
   169203.56,   160579.75;
   156118.57,   158247.51;
   156948.98,   156649.90;
   161776.41,   153983.04;
   158919.90,   167762.62;
   154882.31,   161568.51;
   158050.52,   154812.96;
   165989.37,   153997.11;
   170604.49,   163441.93;
   153937.25,   162368.95;
   165825.81,   169486.83;
   166461.14,   169229.59;
   170532.91,   156928.65;
   153996.38,   164839.02;
   153399.98,   158461.08;
   172260.20,   162760.51;
   164656.52,   151254.21;
   167751.05,   170011.76;
   160753.62,   171317.67;
   171786.14,   166721.93;
   160441.13,   150204.87;
   169107.03,   170159.07;
   173697.16,   162595.04;
   157021.99,   151013.90;
   173116.49,   165797.40;
   158806.48,   150040.27;
   151992.37,   155998.70;
   172584.10,   167293.43;
   173954.72,   164264.27;
   167714.19,   150290.35;
   173532.71,   165903.54;
   163367.78,   149096.57;
   167168.44,   172300.91;
   173700.24,   165878.18;
   159901.68,   173266.97;
   171854.24,   152861.42;
   149958.11,   161347.26;
   174321.91,   156777.27;
   172616.54,   153273.80;
   150567.34,   165753.52;
   170746.38,   170947.25;
   156506.85,   149743.19;
   155662.32,   150223.91;
   153955.26,   170713.58;
   150911.41,   167585.17;
   174828.83,   166235.92;
   153010.61,   170523.28;
   152199.99,   152579.45;
   169468.26,   149686.05;
   174198.95,   167944.76;
   159930.70,   147788.55;
   154517.77,   172443.60;
   149465.70,   166208.23;
   172788.69,   150847.14;
   149231.79,   155173.41;
   173824.24,   151754.91;
   168221.69,   174679.08;
   158231.63,   175223.07;
   162754.10,   175864.98;
   148304.33,   165177.82;
   170290.38,   148508.00;
   163850.49,   145969.30;
   177335.83,   164887.33;
   154950.13,   174678.51;
   177780.69,   164474.31;
   177988.39,   158667.49;
   177791.99,   157363.24;
   175192.90,   151599.43;
   146656.53,   160145.39;
   152241.07,   148922.77;
   147427.79,   155537.20;
   150905.94,   149953.55;
   150806.82,   150027.10;
   167805.69,   145868.34;
   178783.13,   160171.81;
   177703.00,   155191.79;
   152017.21,   173697.22;
   177981.73,   155473.49;
   170026.51,   146297.62;
   149842.37,   171925.62;
   175387.11,   150389.85;
   178564.81,   156190.33;
   175318.49,   150146.34;
   146547.57,   155489.90;
   145959.85,   165674.91;
   157602.14,   144633.46;
   152587.10,   175204.33;
   163532.37,   178444.19;
   148986.51,   149959.77;
   150515.46,   173950.17;
   146066.85,   154544.06;
   148388.64,   150235.58;
   173117.09,   175508.16;
   147318.39,   170636.96;
   152800.50,   145547.87;
   144591.60,   157023.03;
   180454.45,   157049.91;
   180920.36,   161344.08;
   161016.04,   142632.31;
   158895.62,   179301.05;
   145489.08,   153572.43;
   166327.16,   142675.10;
   181294.00,   162309.22;
   181318.35,   159631.58;
   164178.89,   179982.11;
   181528.36,   160150.31;
   177823.78,   172551.93;
   178863.61,   171081.77;
   155402.64,   143103.65;
   144119.56,   154892.99;
   170181.51,   143255.45;
   168524.60,   142570.87;
   162717.10,   141603.54;
   145047.36,   169827.27;
   153701.74,   143519.86;
   150167.12,   145703.52;
   168044.76,   141976.33;
   181165.81,   168219.21;
   147762.12,   174612.26;
   179376.99,   150265.89;
